z_mm,Dmin_um,Dmaj_um
55.8,873.2,811.8
101.6,1050.5,960.4
152.39999999999998,1254.5,1142.2
203.2,1451.7,1326.8
254.0,1673.2,1531.6
304.79999999999995,1875.4,1720.5
355.59999999999997,2102.0,1910.4
406.4,2315.7,2102.3
457.2,2519.1,2287.5
508.0,2717.3,2472.1
558.8,2914.8,2645.9
609.5999999999999,3124.7,2836.9
660.4,3329.6,3040.0
711.1999999999999,3526.3,3229.1
762.0,3722.8,3422.8
812.8,3940.3,3602.3
863.5999999999999,4162.3,3786.2
914.4,4361.4,3965.1
965.1999999999999,4565.4,4156.1
1016.0,4772.1,4350.8
1066.8,4937.7,4516.8
1117.6,5149.9,4706.7
1168.3999999999999,5355.0,4894.5
1219.1999999999998,5530.9,5073.2
1270.0,5715.2,5250.8
