file,z_from_name,x0_um,y0_um,D4s_x_um,D4s_y_um,D_major_um,D_minor_um,ellipticity_major_over_minor,ellipticity_1_minus_minor_over_major,D_major_mm,D_minor_mm
1025.csv,1025.0,68.2671897654948,21.999737746991567,4871.202122221901,4466.838205198322,4871.202122221901,4466.838205198322,0.9169888855198772,0.08301111448012277,4.871202122221901,4.4668382051983215
1150.csv,1150.0,61.901101452097436,-317.31710873490994,5289.0910547183585,4848.085904575482,5289.0910547183585,4848.085904575482,0.9166198604674316,0.0833801395325684,5.289091054718359,4.848085904575482
1225.csv,1225.0,-17.021946299498524,-423.9613681207819,5521.763920382259,5068.813952766929,5521.763920382259,5068.813952766929,0.91797005917921,0.08202994082078996,5.521763920382259,5.068813952766929
1350.csv,1350.0,-5.601524368278947,-737.4275183637096,5864.163566388123,5435.241193765541,5864.163566388123,5435.241193765541,0.9268570244048008,0.07314297559519922,5.8641635663881235,5.435241193765541
1475.csv,1475.0,-23.389475797447723,-1022.6538506904234,6113.0665839518915,5710.267066783063,6113.0665839518915,5710.267066783063,0.9341084361445917,0.06589156385540829,6.113066583951891,5.710267066783063
150.csv,150.0,-26.601296118217164,-105.53267882694101,2198.7780597385813,2478.1353294885757,2478.1353294885757,2198.7780597385813,0.887271180703579,0.11272881929642098,2.478135329488576,2.198778059738581
1600.csv,1600.0,-22.422986949496263,-1243.0109916762146,6345.209235215976,5896.183747900791,6345.209235215976,5896.183747900791,0.9292339352935615,0.07076606470643854,6.345209235215976,5.896183747900791
1650.csv,1650.0,34.08080275171102,-1317.4190674291187,6398.632232145206,5951.2993477059545,6398.632232145206,5951.2993477059545,0.930089295929221,0.06991070407077904,6.398632232145206,5.951299347705954
1800.csv,1800.0,60.92122987218773,507.43906916938334,6696.978708144186,6456.377930291979,6696.978708144186,6456.377930291979,0.9640732353591609,0.035926764640839104,6.6969787081441865,6.456377930291979
1925.csv,1925.0,-18.84369019987961,251.7562066016822,6938.632613171887,6684.5014112192775,6938.632613171887,6684.5014112192775,0.9633744548644668,0.03662554513553318,6.938632613171887,6.684501411219277
2050.csv,2050.0,194.15082161794743,-35.116674933997686,6979.238691790017,6756.627157276901,6979.238691790017,6756.627157276901,0.9681037510903613,0.031896248909638714,6.979238691790017,6.756627157276901
275.csv,275.0,26.77238258443455,-423.6726515366602,2510.1699509878235,2206.6032575646877,2510.1699509878235,2206.6032575646877,0.8790652826898538,0.12093471731014616,2.5101699509878235,2.2066032575646877
525.csv,525.0,-92.23076853160987,-1076.5377445756897,3081.44821426644,2792.170735014972,3081.44821426644,2792.170735014972,0.9061228814710641,0.09387711852893588,3.08144821426644,2.7921707350149716
650.csv,650.0,-35.135943981631215,-1395.4305333349005,3537.92985107567,3233.647901749567,3537.92985107567,3233.647901749567,0.9139943520266268,0.08600564797337318,3.53792985107567,3.233647901749567
775.csv,775.0,-28.585997497526986,631.6476614264592,3954.799262185274,3628.899948880152,3954.799262185274,3628.899948880152,0.9175939683155897,0.0824060316844103,3.954799262185274,3.628899948880152
900.csv,900.0,1.4038839567931711,300.7598492949644,4427.541653988378,4056.3327441366923,4427.541653988378,4056.3327441366923,0.9161591377650176,0.08384086223498244,4.427541653988378,4.056332744136692
