Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 2:46:54 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3144.72
Base Level Y [digits]: 3129.21
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;1.53e+01;-4500.55;1.68e+01;
4499.37;9.28e+00;-4499.37;3.48e+01;
4498.19;-1.27e+01;-4498.19;2.48e+01;
4497.01;-2.72e+00;-4497.01;1.38e+01;
4495.83;-2.72e+00;-4495.83;-2.42e+01;
4494.65;-1.72e+00;-4494.65;4.79e+00;
4493.47;-3.37e+01;-4493.47;1.08e+01;
4492.29;9.28e+00;-4492.29;1.18e+01;
4491.11;8.28e+00;-4491.11;-4.72e+01;
4489.93;2.81e-01;-4489.93;2.38e+01;
4488.75;-4.27e+01;-4488.75;2.08e+01;
4487.56;-2.72e+00;-4487.56;9.79e+00;
4486.38;-5.72e+00;-4486.38;2.48e+01;
4485.2;-2.07e+01;-4485.2;1.88e+01;
4484.02;2.81e-01;-4484.02;1.58e+01;
4482.84;4.28e+00;-4482.84;-2.42e+01;
4481.66;2.81e-01;-4481.66;1.88e+01;
4480.48;-4.37e+01;-4480.48;1.88e+01;
4479.3;-5.72e+00;-4479.3;1.18e+01;
4478.12;-8.72e+00;-4478.12;-3.52e+01;
4476.94;-1.27e+01;-4476.94;1.88e+01;
4475.76;-5.37e+01;-4475.76;1.48e+01;
4474.58;5.28e+00;-4474.58;-5.21e+00;
4473.4;7.28e+00;-4473.4;8.79e+00;
4472.22;-7.72e+00;-4472.22;6.79e+00;
4471.04;4.28e+00;-4471.04;6.79e+00;
4469.86;3.28e+00;-4469.86;-2.82e+01;
4468.68;-7.19e-01;-4468.68;1.58e+01;
4467.5;-5.17e+01;-4467.5;1.88e+01;
4466.32;8.28e+00;-4466.32;1.28e+01;
4465.13;7.28e+00;-4465.13;-2.42e+01;
4463.95;-4.72e+00;-4463.95;2.28e+01;
4462.77;-3.67e+01;-4462.77;2.28e+01;
4461.59;-1.17e+01;-4461.59;7.89e-01;
4460.41;-1.47e+01;-4460.41;1.18e+01;
4459.23;-3.07e+01;-4459.23;8.79e+00;
4458.05;-2.72e+00;-4458.05;6.79e+00;
4456.87;2.81e-01;-4456.87;-4.72e+01;
4455.69;-2.72e+00;-4455.69;1.88e+01;
4454.51;-6.17e+01;-4454.51;2.08e+01;
4453.33;-3.72e+00;-4453.33;1.18e+01;
4452.15;-4.72e+00;-4452.15;1.18e+01;
4450.97;-1.17e+01;-4450.97;1.48e+01;
4449.79;-3.72e+00;-4449.79;1.08e+01;
4448.61;3.28e+00;-4448.61;-9.21e+00;
4447.43;3.28e+00;-4447.43;1.28e+01;
4446.25;-1.97e+01;-4446.25;1.48e+01;
4445.07;-1.72e+00;-4445.07;1.38e+01;
4443.88;-2.72e+00;-4443.88;-4.22e+01;
4442.7;-8.72e+00;-4442.7;1.88e+01;
4441.52;-6.97e+01;-4441.52;1.68e+01;
4440.34;3.28e+00;-4440.34;6.79e+00;
4439.16;5.28e+00;-4439.16;8.79e+00;
4437.98;-4.72e+00;-4437.98;1.68e+01;
4436.8;9.28e+00;-4436.8;1.68e+01;
4435.62;1.28e+00;-4435.62;1.79e+00;
4434.44;-3.72e+00;-4434.44;2.28e+01;
4433.26;-3.27e+01;-4433.26;2.48e+01;
4432.08;2.81e-01;-4432.08;2.08e+01;
4430.9;3.28e+00;-4430.9;-3.12e+01;
4429.72;2.28e+00;-4429.72;2.48e+01;
4428.54;-5.77e+01;-4428.54;1.88e+01;
4427.36;7.28e+00;-4427.36;6.79e+00;
4426.18;5.28e+00;-4426.18;-7.21e+00;
4425;-9.72e+00;-4425;1.28e+01;
4423.82;7.28e+00;-4423.82;1.38e+01;
4422.64;-1.72e+00;-4422.64;-5.21e+00;
4421.45;-3.72e+00;-4421.45;1.88e+01;
4420.27;-3.27e+01;-4420.27;1.68e+01;
4419.09;1.28e+00;-4419.09;1.28e+01;
4417.91;3.28e+00;-4417.91;-4.82e+01;
4416.73;-2.72e+00;-4416.73;1.58e+01;
4415.55;-5.47e+01;-4415.55;1.88e+01;
4414.37;7.28e+00;-4414.37;1.18e+01;
4413.19;7.28e+00;-4413.19;2.48e+01;
4412.01;-1.07e+01;-4412.01;3.08e+01;
4410.83;7.28e+00;-4410.83;2.88e+01;
4409.65;7.28e+00;-4409.65;2.79e+00;
4408.47;6.28e+00;-4408.47;2.28e+01;
4407.29;-3.57e+01;-4407.29;1.88e+01;
4406.11;3.28e+00;-4406.11;1.28e+01;
4404.93;-1.72e+00;-4404.93;-4.92e+01;
4403.75;-8.72e+00;-4403.75;1.98e+01;
4402.57;-6.67e+01;-4402.57;1.88e+01;
4401.39;-2.72e+00;-4401.39;9.79e+00;
