Pos X [µm];X;Pos Y [µm];Y;
4500.55;5.59e+02;-4500.55;2.26e+02;
4499.37;5.81e+02;-4499.37;2.42e+02;
4498.19;5.80e+02;-4498.19;2.30e+02;
4497.01;5.83e+02;-4497.01;2.06e+02;
4495.83;5.53e+02;-4495.83;2.28e+02;
4494.65;5.93e+02;-4494.65;2.38e+02;
4493.47;5.92e+02;-4493.47;2.50e+02;
4492.29;5.85e+02;-4492.29;2.10e+02;
4491.11;5.45e+02;-4491.11;2.72e+02;
4489.93;5.97e+02;-4489.93;2.70e+02;
4488.75;6.07e+02;-4488.75;2.54e+02;
4487.56;6.05e+02;-4487.56;2.50e+02;
4486.38;6.28e+02;-4486.38;2.52e+02;
4485.2;6.33e+02;-4485.2;2.50e+02;
4484.02;6.33e+02;-4484.02;2.28e+02;
4482.84;5.93e+02;-4482.84;2.56e+02;
4481.66;6.41e+02;-4481.66;2.62e+02;
4480.48;6.45e+02;-4480.48;2.64e+02;
4479.3;6.44e+02;-4479.3;2.10e+02;
4478.12;6.13e+02;-4478.12;2.80e+02;
4476.94;6.75e+02;-4476.94;2.82e+02;
4475.76;6.87e+02;-4475.76;2.70e+02;
4474.58;6.84e+02;-4474.58;2.68e+02;
4473.4;7.08e+02;-4473.4;2.64e+02;
4472.22;7.13e+02;-4472.22;2.58e+02;
4471.04;7.10e+02;-4471.04;2.40e+02;
4469.86;6.61e+02;-4469.86;2.72e+02;
4468.68;7.10e+02;-4468.68;2.86e+02;
4467.5;7.10e+02;-4467.5;2.94e+02;
4466.32;7.08e+02;-4466.32;2.40e+02;
4465.13;6.83e+02;-4465.13;3.04e+02;
4463.95;7.32e+02;-4463.95;2.92e+02;
4462.77;7.39e+02;-4462.77;2.66e+02;
4461.59;7.26e+02;-4461.59;2.74e+02;
4460.41;7.50e+02;-4460.41;2.64e+02;
4459.23;7.54e+02;-4459.23;2.68e+02;
4458.05;7.51e+02;-4458.05;2.60e+02;
4456.87;7.02e+02;-4456.87;2.96e+02;
4455.69;7.65e+02;-4455.69;3.06e+02;
4454.51;7.78e+02;-4454.51;3.02e+02;
4453.33;7.83e+02;-4453.33;2.36e+02;
4452.15;7.89e+02;-4452.15;2.96e+02;
4450.97;8.19e+02;-4450.97;2.94e+02;
4449.79;8.20e+02;-4449.79;2.84e+02;
4448.61;7.99e+02;-4448.61;3.06e+02;
4447.43;8.09e+02;-4447.43;3.10e+02;
4446.25;8.07e+02;-4446.25;3.14e+02;
4445.07;8.09e+02;-4445.07;2.86e+02;
4443.88;7.65e+02;-4443.88;3.16e+02;
4442.7;8.36e+02;-4442.7;3.10e+02;
4441.52;8.45e+02;-4441.52;3.04e+02;
4440.34;8.46e+02;-4440.34;2.46e+02;
4439.16;8.60e+02;-4439.16;3.16e+02;
4437.98;8.73e+02;-4437.98;3.22e+02;
4436.8;8.82e+02;-4436.8;3.20e+02;
4435.62;8.67e+02;-4435.62;3.38e+02;
4434.44;8.91e+02;-4434.44;3.32e+02;
4433.26;8.88e+02;-4433.26;3.28e+02;
4432.08;8.83e+02;-4432.08;2.98e+02;
4430.9;8.30e+02;-4430.9;3.32e+02;
4429.72;9.01e+02;-4429.72;3.34e+02;
4428.54;9.15e+02;-4428.54;3.32e+02;
4427.36;9.16e+02;-4427.36;2.72e+02;
4426.18;9.29e+02;-4426.18;3.40e+02;
4425;9.23e+02;-4425;3.36e+02;
4423.82;9.09e+02;-4423.82;3.18e+02;
4422.64;8.78e+02;-4422.64;3.26e+02;
4421.45;9.06e+02;-4421.45;3.24e+02;
4420.27;9.22e+02;-4420.27;3.26e+02;
4419.09;9.38e+02;-4419.09;3.00e+02;
4417.91;9.02e+02;-4417.91;3.54e+02;
4416.73;9.75e+02;-4416.73;3.60e+02;
4415.55;9.81e+02;-4415.55;3.56e+02;
4414.37;9.74e+02;-4414.37;2.98e+02;
4413.19;9.85e+02;-4413.19;3.56e+02;
4412.01;9.93e+02;-4412.01;3.56e+02;
4410.83;1.00e+03;-4410.83;3.48e+02;
4409.65;9.86e+02;-4409.65;3.68e+02;
4408.47;1.01e+03;-4408.47;3.66e+02;
4407.29;1.01e+03;-4407.29;3.56e+02;
4406.11;1.00e+03;-4406.11;3.12e+02;
4404.93;9.37e+02;-4404.93;3.50e+02;
4403.75;9.90e+02;-4403.75;3.56e+02;
4402.57;9.88e+02;-4402.57;3.60e+02;
4401.39;9.83e+02;-4401.39;3.26e+02;
4400.23;1.01e+03;-4400.23;3.82e+02;
4399.08;1.01e+03;-4399.08;3.74e+02;
4397.93;1.01e+03;-4397.93;3.50e+02;
4396.77;9.77e+02;-4396.77;3.58e+02;
4395.62;1.00e+03;-4395.62;3.58e+02;
4394.47;1.01e+03;-4394.47;3.66e+02;
4393.31;1.02e+03;-4393.31;3.28e+02;
4392.16;9.85e+02;-4392.16;3.94e+02;
4391.01;1.07e+03;-4391.01;4.00e+02;
4389.85;1.08e+03;-4389.85;3.90e+02;
4388.7;1.06e+03;-4388.7;3.58e+02;
4387.55;1.06e+03;-4387.55;3.88e+02;
4386.4;1.04e+03;-4386.4;3.82e+02;
4385.24;1.03e+03;-4385.24;3.68e+02;
4384.09;1.01e+03;-4384.09;3.84e+02;
4382.94;1.05e+03;-4382.94;3.84e+02;
4381.78;1.07e+03;-4381.78;3.78e+02;
4380.63;1.08e+03;-4380.63;3.32e+02;
4379.48;1.03e+03;-4379.48;3.80e+02;
4378.32;1.09e+03;-4378.32;3.86e+02;
4377.17;1.09e+03;-4377.17;3.84e+02;
4376.02;1.08e+03;-4376.02;3.36e+02;
4374.86;1.10e+03;-4374.86;4.02e+02;
4373.71;1.09e+03;-4373.71;4.04e+02;
4372.56;1.10e+03;-4372.56;3.86e+02;
4371.41;1.08e+03;-4371.41;3.92e+02;
4370.25;1.11e+03;-4370.25;3.88e+02;
4369.1;1.12e+03;-4369.1;3.86e+02;
4367.95;1.12e+03;-4367.95;3.44e+02;
4366.79;1.08e+03;-4366.79;4.10e+02;
4365.64;1.14e+03;-4365.64;4.20e+02;
4364.49;1.15e+03;-4364.49;4.16e+02;
4363.33;1.14e+03;-4363.33;3.94e+02;
4362.18;1.14e+03;-4362.18;4.12e+02;
4361.03;1.14e+03;-4361.03;4.02e+02;
4359.87;1.13e+03;-4359.87;3.86e+02;
4358.72;1.11e+03;-4358.72;4.06e+02;
4357.57;1.17e+03;-4357.57;4.18e+02;
4356.42;1.20e+03;-4356.42;4.26e+02;
4355.26;1.21e+03;-4355.26;3.86e+02;
4354.11;1.16e+03;-4354.11;4.32e+02;
4352.96;1.20e+03;-4352.96;4.22e+02;
4351.8;1.19e+03;-4351.8;4.04e+02;
4350.62;1.16e+03;-4350.62;3.62e+02;
4349.44;1.18e+03;-4349.44;4.06e+02;
4348.26;1.19e+03;-4348.26;4.12e+02;
4347.08;1.20e+03;-4347.08;4.04e+02;
4345.9;1.19e+03;-4345.9;4.26e+02;
4344.72;1.24e+03;-4344.72;4.36e+02;
4343.54;1.25e+03;-4343.54;4.42e+02;
4342.36;1.25e+03;-4342.36;4.00e+02;
4341.18;1.21e+03;-4341.18;4.56e+02;
4340;1.26e+03;-4340;4.56e+02;
4338.82;1.26e+03;-4338.82;4.46e+02;
4337.64;1.25e+03;-4337.64;4.20e+02;
4336.46;1.27e+03;-4336.46;4.42e+02;
4335.28;1.27e+03;-4335.28;4.38e+02;
4334.1;1.27e+03;-4334.1;4.24e+02;
4332.91;1.23e+03;-4332.91;4.44e+02;
4331.73;1.27e+03;-4331.73;4.46e+02;
4330.55;1.27e+03;-4330.55;4.44e+02;
4329.37;1.26e+03;-4329.37;4.02e+02;
4328.19;1.24e+03;-4328.19;4.52e+02;
4327.01;1.29e+03;-4327.01;4.50e+02;
4325.83;1.30e+03;-4325.83;4.42e+02;
4324.65;1.29e+03;-4324.65;4.00e+02;
4323.47;1.31e+03;-4323.47;4.54e+02;
4322.29;1.31e+03;-4322.29;4.58e+02;
4321.11;1.31e+03;-4321.11;4.50e+02;
4319.93;1.28e+03;-4319.93;4.74e+02;
4318.75;1.33e+03;-4318.75;4.80e+02;
4317.57;1.34e+03;-4317.57;4.84e+02;
4316.39;1.35e+03;-4316.39;4.38e+02;
4315.21;1.32e+03;-4315.21;4.96e+02;
4314.03;1.38e+03;-4314.03;4.96e+02;
4312.85;1.39e+03;-4312.85;4.88e+02;
4311.66;1.38e+03;-4311.66;4.58e+02;
4310.48;1.38e+03;-4310.48;4.82e+02;
4309.3;1.38e+03;-4309.3;4.76e+02;
4308.12;1.37e+03;-4308.12;4.56e+02;
4306.94;1.34e+03;-4306.94;4.82e+02;
4305.76;1.39e+03;-4305.76;4.90e+02;
4304.58;1.39e+03;-4304.58;4.92e+02;
4303.4;1.39e+03;-4303.4;4.38e+02;
4302.22;1.35e+03;-4302.22;4.98e+02;
4301.04;1.40e+03;-4301.07;4.94e+02;
4299.86;1.40e+03;-4299.91;4.82e+02;
4298.68;1.38e+03;-4298.76;4.62e+02;
4297.5;1.40e+03;-4297.61;4.92e+02;
4296.32;1.39e+03;-4296.46;4.94e+02;
4295.14;1.38e+03;-4295.3;4.80e+02;
4293.96;1.34e+03;-4294.15;5.06e+02;
4292.78;1.41e+03;-4293;5.16e+02;
4291.6;1.43e+03;-4291.84;5.16e+02;
4290.42;1.45e+03;-4290.69;4.58e+02;
4289.23;1.45e+03;-4289.54;5.18e+02;
4288.05;1.48e+03;-4288.38;5.06e+02;
4286.87;1.47e+03;-4287.23;4.86e+02;
4285.69;1.43e+03;-4286.08;4.90e+02;
4284.51;1.43e+03;-4284.92;4.90e+02;
4283.33;1.43e+03;-4283.77;4.96e+02;
4282.15;1.42e+03;-4282.62;4.88e+02;
4280.97;1.38e+03;-4281.46;5.22e+02;
4279.79;1.45e+03;-4280.31;5.28e+02;
4278.61;1.46e+03;-4279.16;5.22e+02;
4277.43;1.45e+03;-4278.01;4.58e+02;
4276.25;1.45e+03;-4276.85;5.10e+02;
4275.07;1.46e+03;-4275.7;5.06e+02;
4273.89;1.46e+03;-4274.55;4.96e+02;
4272.71;1.45e+03;-4273.39;5.06e+02;
4271.53;1.49e+03;-4272.24;5.20e+02;
4270.35;1.51e+03;-4271.09;5.30e+02;
4269.17;1.53e+03;-4269.93;5.16e+02;
4267.98;1.49e+03;-4268.78;5.46e+02;
4266.8;1.54e+03;-4267.63;5.50e+02;
4265.62;1.53e+03;-4266.48;5.48e+02;
4264.44;1.51e+03;-4265.32;4.82e+02;
4263.26;1.50e+03;-4264.17;5.44e+02;
4262.08;1.51e+03;-4263.02;5.32e+02;
4260.9;1.51e+03;-4261.86;5.14e+02;
4259.72;1.49e+03;-4260.71;5.28e+02;
4258.54;1.52e+03;-4259.56;5.26e+02;
4257.36;1.54e+03;-4258.4;5.34e+02;
4256.18;1.55e+03;-4257.25;5.20e+02;
4255;1.49e+03;-4256.1;5.58e+02;
4253.82;1.55e+03;-4254.94;5.62e+02;
4252.64;1.54e+03;-4253.79;5.52e+02;
4251.46;1.52e+03;-4252.64;4.86e+02;
4250.28;1.53e+03;-4251.46;5.44e+02;
4249.1;1.53e+03;-4250.28;5.40e+02;
4247.92;1.54e+03;-4249.1;5.30e+02;
4246.74;1.54e+03;-4247.92;5.54e+02;
4245.55;1.59e+03;-4246.74;5.56e+02;
4244.37;1.61e+03;-4245.55;5.66e+02;
4243.19;1.62e+03;-4244.37;5.46e+02;
4242.01;1.56e+03;-4243.19;5.92e+02;
4240.83;1.61e+03;-4242.01;5.94e+02;
4239.65;1.61e+03;-4240.83;5.84e+02;
4238.47;1.60e+03;-4239.65;5.22e+02;
4237.29;1.61e+03;-4238.47;5.72e+02;
4236.11;1.63e+03;-4237.29;5.66e+02;
4234.93;1.62e+03;-4236.11;5.58e+02;
4233.75;1.60e+03;-4234.93;5.84e+02;
4232.57;1.62e+03;-4233.75;5.90e+02;
4231.39;1.62e+03;-4232.57;5.92e+02;
4230.21;1.63e+03;-4231.39;5.60e+02;
4229.03;1.58e+03;-4230.21;5.92e+02;
4227.85;1.65e+03;-4229.03;5.86e+02;
4226.67;1.66e+03;-4227.85;5.76e+02;
4225.49;1.65e+03;-4226.67;5.22e+02;
4224.31;1.66e+03;-4225.49;5.80e+02;
4223.12;1.65e+03;-4224.31;5.84e+02;
4221.94;1.65e+03;-4223.12;5.80e+02;
4220.76;1.63e+03;-4221.94;6.04e+02;
4219.58;1.66e+03;-4220.76;6.08e+02;
4218.4;1.68e+03;-4219.58;6.10e+02;
4217.22;1.69e+03;-4218.4;5.76e+02;
4216.04;1.65e+03;-4217.22;6.22e+02;
4214.86;1.72e+03;-4216.04;6.26e+02;
4213.68;1.73e+03;-4214.86;6.22e+02;
4212.5;1.72e+03;-4213.68;5.82e+02;
4211.32;1.74e+03;-4212.5;6.28e+02;
4210.14;1.73e+03;-4211.32;6.22e+02;
4208.96;1.71e+03;-4210.14;6.04e+02;
4207.78;1.67e+03;-4208.96;6.10e+02;
4206.6;1.70e+03;-4207.78;6.06e+02;
4205.42;1.71e+03;-4206.6;6.04e+02;
4204.24;1.73e+03;-4205.42;5.72e+02;
4203.06;1.69e+03;-4204.24;6.22e+02;
4201.9;1.77e+03;-4203.06;6.30e+02;
4200.75;1.77e+03;-4201.88;6.28e+02;
4199.6;1.75e+03;-4200.69;5.78e+02;
4198.44;1.76e+03;-4199.51;6.30e+02;
4197.29;1.75e+03;-4198.33;6.28e+02;
4196.14;1.75e+03;-4197.15;6.16e+02;
4194.98;1.73e+03;-4195.97;6.36e+02;
4193.83;1.78e+03;-4194.79;6.44e+02;
4192.68;1.79e+03;-4193.61;6.48e+02;
4191.52;1.79e+03;-4192.43;6.10e+02;
4190.37;1.73e+03;-4191.25;6.52e+02;
4189.22;1.78e+03;-4190.07;6.46e+02;
4188.07;1.78e+03;-4188.89;6.36e+02;
4186.91;1.77e+03;-4187.71;5.84e+02;
4185.76;1.80e+03;-4186.53;6.48e+02;
4184.61;1.81e+03;-4185.35;6.52e+02;
4183.45;1.82e+03;-4184.17;6.42e+02;
4182.3;1.79e+03;-4182.99;6.52e+02;
4181.15;1.81e+03;-4181.81;6.52e+02;
4179.99;1.80e+03;-4180.62;6.46e+02;
4178.84;1.79e+03;-4179.44;6.10e+02;
4177.69;1.74e+03;-4178.26;6.54e+02;
4176.53;1.81e+03;-4177.08;6.60e+02;
4175.38;1.82e+03;-4175.9;6.52e+02;
4174.23;1.82e+03;-4174.72;6.10e+02;
4173.08;1.83e+03;-4173.54;6.52e+02;
4171.92;1.84e+03;-4172.36;6.52e+02;
4170.77;1.85e+03;-4171.18;6.44e+02;
4169.62;1.82e+03;-4170;6.68e+02;
4168.46;1.87e+03;-4168.82;6.76e+02;
4167.31;1.87e+03;-4167.64;6.78e+02;
4166.16;1.86e+03;-4166.46;6.34e+02;
4165;1.80e+03;-4165.28;6.74e+02;
4163.85;1.84e+03;-4164.1;6.64e+02;
4162.7;1.84e+03;-4162.92;6.50e+02;
4161.54;1.84e+03;-4161.74;6.10e+02;
4160.39;1.88e+03;-4160.56;6.64e+02;
4159.24;1.90e+03;-4159.38;6.76e+02;
4158.08;1.91e+03;-4158.19;6.80e+02;
4156.93;1.88e+03;-4157.01;7.02e+02;
4155.78;1.90e+03;-4155.83;7.06e+02;
4154.63;1.88e+03;-4154.65;6.96e+02;
4153.47;1.88e+03;-4153.47;6.40e+02;
4152.29;1.83e+03;-4152.29;6.84e+02;
4151.11;1.90e+03;-4151.11;6.80e+02;
4149.93;1.91e+03;-4149.93;6.74e+02;
4148.75;1.91e+03;-4148.75;6.68e+02;
4147.57;1.93e+03;-4147.57;7.02e+02;
4146.39;1.92e+03;-4146.39;7.12e+02;
4145.21;1.93e+03;-4145.21;7.00e+02;
4144.03;1.91e+03;-4144.03;7.24e+02;
4142.85;1.96e+03;-4142.85;7.24e+02;
4141.67;1.97e+03;-4141.67;7.18e+02;
4140.49;1.97e+03;-4140.49;6.58e+02;
4139.31;1.92e+03;-4139.31;7.18e+02;
4138.13;1.98e+03;-4138.13;7.22e+02;
4136.95;1.97e+03;-4136.95;7.18e+02;
4135.76;1.96e+03;-4135.76;7.06e+02;
4134.58;1.97e+03;-4134.58;7.30e+02;
4133.4;1.97e+03;-4133.4;7.22e+02;
4132.22;1.97e+03;-4132.22;7.04e+02;
4131.04;1.96e+03;-4131.04;7.16e+02;
4129.86;2.00e+03;-4129.86;7.14e+02;
4128.68;2.00e+03;-4128.68;7.12e+02;
4127.5;2.00e+03;-4127.5;6.60e+02;
4126.32;1.95e+03;-4126.32;7.24e+02;
4125.14;2.01e+03;-4125.14;7.28e+02;
4123.96;2.01e+03;-4123.96;7.24e+02;
4122.78;2.00e+03;-4122.78;7.30e+02;
4121.6;2.03e+03;-4121.6;7.46e+02;
4120.42;2.03e+03;-4120.42;7.52e+02;
4119.24;2.03e+03;-4119.24;7.36e+02;
4118.06;2.01e+03;-4118.06;7.64e+02;
4116.88;2.04e+03;-4116.88;7.66e+02;
4115.7;2.05e+03;-4115.7;7.62e+02;
4114.52;2.05e+03;-4114.52;7.04e+02;
4113.33;2.02e+03;-4113.33;7.68e+02;
4112.15;2.09e+03;-4112.15;7.70e+02;
4110.97;2.10e+03;-4110.97;7.58e+02;
4109.79;2.09e+03;-4109.79;7.60e+02;
4108.61;2.10e+03;-4108.61;7.60e+02;
4107.43;2.08e+03;-4107.43;7.54e+02;
4106.25;2.07e+03;-4106.25;7.36e+02;
4105.07;2.04e+03;-4105.07;7.60e+02;
4103.89;2.07e+03;-4103.89;7.72e+02;
4102.74;2.08e+03;-4102.74;7.74e+02;
4101.58;2.08e+03;-4101.58;7.18e+02;
4100.43;2.05e+03;-4100.43;7.76e+02;
4099.28;2.11e+03;-4099.28;7.68e+02;
4098.12;2.12e+03;-4098.12;7.58e+02;
4096.97;2.11e+03;-4096.97;7.80e+02;
4095.82;2.12e+03;-4095.82;7.86e+02;
4094.67;2.13e+03;-4094.67;7.98e+02;
4093.51;2.13e+03;-4093.51;7.80e+02;
4092.36;2.10e+03;-4092.36;8.06e+02;
4091.21;2.15e+03;-4091.21;7.96e+02;
4090.05;2.15e+03;-4090.05;7.76e+02;
4088.9;2.14e+03;-4088.9;7.08e+02;
4087.75;2.12e+03;-4087.75;7.72e+02;
4086.59;2.13e+03;-4086.59;7.84e+02;
4085.44;2.14e+03;-4085.44;7.90e+02;
4084.29;2.14e+03;-4084.29;8.10e+02;
4083.13;2.17e+03;-4083.13;8.20e+02;
4081.98;2.17e+03;-4081.98;8.12e+02;
4080.83;2.16e+03;-4080.83;7.78e+02;
4079.68;2.10e+03;-4079.68;7.98e+02;
4078.52;2.13e+03;-4078.52;7.94e+02;
4077.37;2.13e+03;-4077.37;7.88e+02;
4076.22;2.15e+03;-4076.22;7.28e+02;
4075.06;2.15e+03;-4075.06;8.00e+02;
4073.91;2.22e+03;-4073.91;8.06e+02;
4072.76;2.23e+03;-4072.76;8.06e+02;
4071.6;2.22e+03;-4071.6;8.30e+02;
4070.45;2.22e+03;-4070.45;8.32e+02;
4069.3;2.20e+03;-4069.3;8.32e+02;
4068.14;2.19e+03;-4068.14;8.04e+02;
4066.99;2.15e+03;-4066.99;8.30e+02;
4065.84;2.20e+03;-4065.84;8.28e+02;
4064.69;2.21e+03;-4064.69;8.20e+02;
4063.53;2.21e+03;-4063.53;7.58e+02;
4062.38;2.20e+03;-4062.38;8.20e+02;
4061.23;2.24e+03;-4061.23;8.22e+02;
4060.07;2.25e+03;-4060.07;8.18e+02;
4058.92;2.24e+03;-4058.92;8.44e+02;
4057.77;2.25e+03;-4057.77;8.42e+02;
4056.61;2.24e+03;-4056.61;8.40e+02;
4055.46;2.23e+03;-4055.46;8.04e+02;
4054.31;2.20e+03;-4054.31;8.36e+02;
4053.13;2.24e+03;-4053.13;8.34e+02;
4051.95;2.26e+03;-4051.95;8.32e+02;
4050.77;2.26e+03;-4050.77;7.80e+02;
4049.59;2.24e+03;-4049.59;8.52e+02;
4048.4;2.28e+03;-4048.4;8.56e+02;
