Frequency (Hz),ASD (cyc/sqrt(Hz))
0.000000000000000000e+00,1.338352474902110695e-05
9.000024880299926184e-04,2.573863818495809587e-05
1.800004976059985237e-03,2.324650553594224069e-05
2.700007464089977747e-03,1.569351088526820638e-05
3.600009952119970474e-03,1.150049173142745604e-05
4.500012440149962767e-03,8.909111867662923478e-06
5.400014928179955494e-03,7.896882966251800854e-06
6.300017416209948221e-03,8.569697835188164309e-06
7.200019904239940947e-03,6.956530776699486642e-06
8.100022392269933674e-03,5.133254856411325317e-06
9.000024880299925534e-03,5.092512829883057897e-06
9.900027368329919128e-03,4.229558397425499257e-06
1.080002985635991099e-02,3.172723753933497018e-06
1.170003234438990458e-02,4.378970500096904860e-06
1.260003483241989644e-02,3.978912743631113545e-06
1.350003732044989004e-02,4.119741896071940267e-06
1.440003980847988189e-02,4.706703757137233892e-06
1.530004229650987375e-02,3.794115505792690321e-06
1.620004478453986735e-02,2.865103931615088505e-06
1.710004727256985921e-02,3.098330181914588641e-06
1.800004976059985107e-02,3.055548552456142227e-06
1.890005224862984640e-02,3.746405222453859656e-06
1.980005473665983826e-02,3.764451158142712539e-06
2.070005722468983012e-02,3.254389417703220480e-06
2.160005971271982197e-02,3.285057096028832906e-06
2.250006220074981383e-02,2.386651569799652387e-06
2.340006468877980916e-02,2.143805213618309782e-06
2.430006717680980102e-02,1.853675237310425286e-06
2.520006966483979288e-02,1.920986595394595468e-06
2.610007215286978474e-02,2.075924280305686022e-06
2.700007464089978007e-02,2.409566038837408559e-06
2.790007712892977193e-02,2.957344359114431313e-06
2.880007961695976379e-02,3.177924701685292242e-06
2.970008210498975565e-02,2.694915631634891296e-06
3.060008459301974751e-02,2.035556307045109211e-06
3.150008708104973937e-02,2.178306281956572715e-06
3.240008956907973470e-02,2.641913136823018575e-06
3.330009205710973003e-02,2.932254228212464080e-06
3.420009454513971842e-02,2.314132641916307254e-06
3.510009703316971374e-02,2.323459788368580987e-06
3.600009952119970214e-02,2.200295274501744557e-06
3.690010200922969746e-02,2.064710731632491753e-06
3.780010449725969279e-02,2.051113681834905249e-06
3.870010698528968118e-02,2.241803111672200509e-06
3.960010947331967651e-02,2.388067357920484379e-06
4.050011196134966490e-02,2.124681278310300165e-06
4.140011444937966023e-02,2.195432216413651667e-06
4.230011693740965556e-02,2.617240826517115501e-06
4.320011942543964395e-02,2.294913952880186283e-06
4.410012191346963928e-02,1.960146526810131200e-06
4.500012440149962767e-02,1.913018475551159614e-06
4.590012688952962300e-02,2.156155990499304764e-06
4.680012937755961833e-02,1.954161147695326436e-06
4.770013186558960672e-02,1.797814331014334303e-06
4.860013435361960205e-02,1.899716546440338638e-06
4.950013684164959737e-02,1.600334117041631182e-06
5.040013932967958576e-02,1.183729930854963859e-06
5.130014181770958109e-02,1.539335147705831222e-06
5.220014430573956948e-02,1.894023906183183047e-06
5.310014679376956481e-02,2.030877458336668149e-06
5.400014928179956014e-02,1.813491546867460118e-06
5.490015176982954853e-02,1.219343135813634864e-06
5.580015425785954386e-02,1.417450995576582725e-06
5.670015674588953225e-02,1.544202337491715203e-06
5.760015923391952758e-02,1.513706915492780475e-06
5.850016172194952291e-02,1.595103373573460618e-06
5.940016420997951130e-02,1.791367381019842867e-06
6.030016669800950663e-02,1.777683618689987972e-06
6.120016918603949502e-02,1.558196228639105462e-06
6.210017167406949035e-02,1.461540703780033123e-06
6.300017416209947874e-02,1.427239321480714795e-06
6.390017665012948100e-02,1.403222619386764520e-06
6.480017913815946939e-02,1.538831726356184220e-06
6.570018162618945778e-02,1.557172169482615491e-06
6.660018411421946005e-02,1.596917717066751396e-06
6.750018660224944844e-02,1.465817936740029455e-06
6.840018909027943683e-02,1.333707433380391063e-06
6.930019157830942522e-02,1.775446247256451425e-06
7.020019406633942749e-02,1.620597469548292709e-06
7.110019655436941588e-02,1.411706543906193420e-06
7.200019904239940427e-02,1.258496119027457317e-06
7.290020153042940654e-02,1.171136306698243018e-06
7.380020401845939493e-02,1.317956016641905951e-06
7.470020650648938332e-02,1.440574917001918302e-06
7.560020899451938559e-02,1.106053128346387029e-06
7.650021148254937398e-02,1.110026823742018184e-06
7.740021397057936237e-02,9.540590490123979146e-07
